nflverse_game_id,week,posteam,defteam,defense_personnel,defense_id,short_name,position_group,snaps
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0037281,D.Clark,LB,4
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0040725,D.Ezeiruaku,LB,4
2025_01_DAL_PHI,1,DAL,PHI,p_344,00-0039265,G.Hall,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0038978,B.Young,DL,8
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0033878,A.Jackson,DB,8
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0036159,J.Uche,LB,2
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0036418,Z.Baun,LB,8
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0036922,P.Johnson,DL,8
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0037073,J.Davis,DL,8
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0037130,R.Blankenship,DB,8
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0038978,B.Young,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0039888,Q.Mitchell,DB,8
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0039841,C.DeJean,DB,8
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0040708,J.Campbell,LB,8
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0040749,A.Mukuba,DB,8
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0038412,M.Ojomo,DL,7
2025_01_DAL_PHI,1,DAL,PHI,p_524,00-0036418,Z.Baun,LB,1
2025_01_DAL_PHI,1,DAL,PHI,p_524,00-0036922,P.Johnson,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_524,00-0037073,J.Davis,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_524,00-0037130,R.Blankenship,DB,1
2025_01_DAL_PHI,1,DAL,PHI,p_524,00-0039013,N.Smith,LB,1
2025_01_DAL_PHI,1,DAL,PHI,p_524,00-0038978,B.Young,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_524,00-0038412,M.Ojomo,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_524,00-0039888,Q.Mitchell,DB,1
2025_01_DAL_PHI,1,DAL,PHI,p_524,00-0039841,C.DeJean,DB,1
2025_01_DAL_PHI,1,DAL,PHI,p_524,00-0039265,G.Hall,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_524,00-0040749,A.Mukuba,DB,1
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0032052,D.Fowler,DL,12
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0033120,K.Clark,DL,16
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0033877,M.Hooker,DB,21
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0035301,D.Wilson,DB,21
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0036441,K.Murray,LB,21
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0036361,T.Diggs,DB,21
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0036942,O.Odighizuwa,DL,14
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0037242,K.Elam,DB,21
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0037665,S.Williams,LB,14
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0037275,D.Bland,DB,21
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0037109,J.Sanborn,LB,12
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0033870,S.Thomas,DL,7
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0039900,M.Kneeland,DL,9
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0040725,D.Ezeiruaku,LB,5
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0040019,J.Toia,DL,5
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0037281,D.Clark,LB,9
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0036159,J.Uche,LB,13
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0036922,P.Johnson,DL,3
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0039002,S.Brown,DB,3
2025_01_DAL_PHI,1,DAL,PHI,p_434,00-0040708,J.Campbell,LB,3
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0039013,N.Smith,LB,3
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0039072,J.Bennett,DB,5
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0036159,J.Uche,LB,2
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0036418,Z.Baun,LB,2
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0037073,J.Davis,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0037130,R.Blankenship,DB,2
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0039013,N.Smith,LB,1
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0039002,S.Brown,DB,2
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0039072,J.Bennett,DB,1
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0038412,M.Ojomo,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0039888,Q.Mitchell,DB,2
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0039841,C.DeJean,DB,2
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0040749,A.Mukuba,DB,2
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0039352,M.Liufau,LB,6
2025_01_DAL_PHI,1,PHI,DAL,p_335,00-0037310,J.Houston,LB,2
2025_01_DAL_PHI,1,PHI,DAL,p_344,00-0037310,J.Houston,LB,5
2025_01_DAL_PHI,1,DAL,PHI,p_146,00-0033878,A.Jackson,DB,1
2025_01_DAL_PHI,1,DAL,PHI,p_146,00-0036159,J.Uche,LB,1
2025_01_DAL_PHI,1,DAL,PHI,p_146,00-0036418,Z.Baun,LB,1
2025_01_DAL_PHI,1,DAL,PHI,p_146,00-0037130,R.Blankenship,DB,1
2025_01_DAL_PHI,1,DAL,PHI,p_146,00-0039013,N.Smith,LB,1
2025_01_DAL_PHI,1,DAL,PHI,p_146,00-0039002,S.Brown,DB,1
2025_01_DAL_PHI,1,DAL,PHI,p_146,00-0038412,M.Ojomo,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_146,00-0039888,Q.Mitchell,DB,1
2025_01_DAL_PHI,1,DAL,PHI,p_146,00-0039841,C.DeJean,DB,1
2025_01_DAL_PHI,1,DAL,PHI,p_146,00-0040708,J.Campbell,LB,1
2025_01_DAL_PHI,1,DAL,PHI,p_146,00-0040749,A.Mukuba,DB,1
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0033877,M.Hooker,DB,3
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0035301,D.Wilson,DB,3
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0036441,K.Murray,LB,3
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0036942,O.Odighizuwa,DL,3
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0037242,K.Elam,DB,3
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0037665,S.Williams,LB,3
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0037275,D.Bland,DB,3
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0037281,D.Clark,LB,3
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0037109,J.Sanborn,LB,3
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0040725,D.Ezeiruaku,LB,2
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0040019,J.Toia,DL,3
2025_01_DAL_PHI,1,PHI,DAL,p_254,00-0037310,J.Houston,LB,1
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0033120,K.Clark,DL,1
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0037310,J.Houston,LB,1
2025_01_DAL_PHI,1,PHI,DAL,p_245,00-0037109,J.Sanborn,LB,1
2025_01_DAL_PHI,1,DAL,PHI,p_335,00-0039740,J.Hunt,LB,3
2025_01_DAL_PHI,1,DAL,PHI,p_245,00-0039265,G.Hall,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0033878,A.Jackson,DB,1
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0038978,B.Young,DL,1
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0039740,J.Hunt,LB,1
2025_01_DAL_PHI,1,DAL,PHI,p_236,00-0039265,G.Hall,DL,1
2025_01_KC_LAC,1,KC,LAC,p_245,00-0031040,K.Mack,LB,23
2025_01_KC_LAC,1,KC,LAC,p_245,00-0032103,D.Perryman,LB,6
2025_01_KC_LAC,1,KC,LAC,p_245,00-0034790,D.James,DB,33
2025_01_KC_LAC,1,KC,LAC,p_245,00-0034356,D.Jackson,DB,21
2025_01_KC_LAC,1,KC,LAC,p_245,00-0034371,D.Hand,DL,17
2025_01_KC_LAC,1,KC,LAC,p_245,00-0036380,A.Gilman,DB,33
2025_01_KC_LAC,1,KC,LAC,p_245,00-0036181,T.Tart,DL,18
2025_01_KC_LAC,1,KC,LAC,p_245,00-0036992,E.Molden,DB,32
2025_01_KC_LAC,1,KC,LAC,p_245,00-0039111,T.Tuipulotu,LB,25
2025_01_KC_LAC,1,KC,LAC,p_245,00-0038553,D.Henley,LB,33
2025_01_KC_LAC,1,KC,LAC,p_245,00-0039366,T.Still,DB,32
2025_01_KC_LAC,1,KC,LAC,p_146,00-0031040,K.Mack,LB,11
2025_01_KC_LAC,1,KC,LAC,p_146,00-0032146,B.Dupree,LB,8
2025_01_KC_LAC,1,KC,LAC,p_146,00-0034790,D.James,DB,11
2025_01_KC_LAC,1,KC,LAC,p_146,00-0034356,D.Jackson,DB,10
2025_01_KC_LAC,1,KC,LAC,p_146,00-0034371,D.Hand,DL,7
2025_01_KC_LAC,1,KC,LAC,p_146,00-0036380,A.Gilman,DB,11
2025_01_KC_LAC,1,KC,LAC,p_146,00-0036992,E.Molden,DB,11
2025_01_KC_LAC,1,KC,LAC,p_146,00-0039111,T.Tuipulotu,LB,10
2025_01_KC_LAC,1,KC,LAC,p_146,00-0038553,D.Henley,LB,11
2025_01_KC_LAC,1,KC,LAC,p_146,00-0039366,T.Still,DB,11
2025_01_KC_LAC,1,KC,LAC,p_146,00-0039369,C.Hart,DB,11
2025_01_KC_LAC,1,LAC,KC,p_245,00-0032762,C.Jones,DL,4
2025_01_KC_LAC,1,LAC,KC,p_245,00-0035674,J.Tillery,DL,2
2025_01_KC_LAC,1,LAC,KC,p_245,00-0035262,D.Tranquill,LB,3
2025_01_KC_LAC,1,LAC,KC,p_245,00-0036378,M.Danna,LB,4
2025_01_KC_LAC,1,LAC,KC,p_245,00-0036621,N.Bolton,LB,4
2025_01_KC_LAC,1,LAC,KC,p_245,00-0037191,T.McDuffie,DB,4
2025_01_KC_LAC,1,LAC,KC,p_245,00-0037193,B.Cook,DB,4
2025_01_KC_LAC,1,LAC,KC,p_245,00-0037819,L.Chenal,LB,4
2025_01_KC_LAC,1,LAC,KC,p_245,00-0037195,J.Watson,DB,4
2025_01_KC_LAC,1,LAC,KC,p_245,00-0038982,C.Conner,DB,4
2025_01_KC_LAC,1,LAC,KC,p_245,00-0039825,J.Hicks,DB,2
2025_01_KC_LAC,1,LAC,KC,p_335,00-0032762,C.Jones,DL,20
2025_01_KC_LAC,1,LAC,KC,p_335,00-0034818,D.Nnadi,DL,8
2025_01_KC_LAC,1,LAC,KC,p_335,00-0035262,D.Tranquill,LB,25
2025_01_KC_LAC,1,LAC,KC,p_335,00-0036378,M.Danna,LB,25
2025_01_KC_LAC,1,LAC,KC,p_335,00-0036621,N.Bolton,LB,26
2025_01_KC_LAC,1,LAC,KC,p_335,00-0037191,T.McDuffie,DB,26
2025_01_KC_LAC,1,LAC,KC,p_335,00-0037192,G.Karlaftis,DL,21
2025_01_KC_LAC,1,LAC,KC,p_335,00-0037193,B.Cook,DB,26
2025_01_KC_LAC,1,LAC,KC,p_335,00-0037195,J.Watson,DB,25
2025_01_KC_LAC,1,LAC,KC,p_335,00-0038982,C.Conner,DB,26
2025_01_KC_LAC,1,LAC,KC,p_335,00-0039825,J.Hicks,DB,23
2025_01_KC_LAC,1,LAC,KC,p_344,00-0032762,C.Jones,DL,6
2025_01_KC_LAC,1,LAC,KC,p_344,00-0034818,D.Nnadi,DL,7
2025_01_KC_LAC,1,LAC,KC,p_344,00-0035262,D.Tranquill,LB,6
2025_01_KC_LAC,1,LAC,KC,p_344,00-0036378,M.Danna,LB,8
2025_01_KC_LAC,1,LAC,KC,p_344,00-0036621,N.Bolton,LB,8
2025_01_KC_LAC,1,LAC,KC,p_344,00-0037191,T.McDuffie,DB,8
2025_01_KC_LAC,1,LAC,KC,p_344,00-0037192,G.Karlaftis,DL,6
2025_01_KC_LAC,1,LAC,KC,p_344,00-0037193,B.Cook,DB,8
2025_01_KC_LAC,1,LAC,KC,p_344,00-0037819,L.Chenal,LB,8
2025_01_KC_LAC,1,LAC,KC,p_344,00-0037195,J.Watson,DB,8
2025_01_KC_LAC,1,LAC,KC,p_344,00-0038982,C.Conner,DB,8
2025_01_KC_LAC,1,LAC,KC,p_335,00-0035674,J.Tillery,DL,11
2025_01_KC_LAC,1,LAC,KC,p_335,00-0035279,C.Omenihu,DL,17
2025_01_KC_LAC,1,KC,LAC,p_245,00-0032146,B.Dupree,LB,9
2025_01_KC_LAC,1,KC,LAC,p_245,00-0037270,O.Ogbonnia,DL,13
2025_01_KC_LAC,1,KC,LAC,p_344,00-0031040,K.Mack,LB,2
2025_01_KC_LAC,1,KC,LAC,p_344,00-0032103,D.Perryman,LB,1
2025_01_KC_LAC,1,KC,LAC,p_344,00-0034790,D.James,DB,2
2025_01_KC_LAC,1,KC,LAC,p_344,00-0034356,D.Jackson,DB,1
2025_01_KC_LAC,1,KC,LAC,p_344,00-0036380,A.Gilman,DB,2
2025_01_KC_LAC,1,KC,LAC,p_344,00-0036181,T.Tart,DL,2
2025_01_KC_LAC,1,KC,LAC,p_344,00-0037270,O.Ogbonnia,DL,1
2025_01_KC_LAC,1,KC,LAC,p_344,00-0039111,T.Tuipulotu,LB,2
2025_01_KC_LAC,1,KC,LAC,p_344,00-0038553,D.Henley,LB,2
2025_01_KC_LAC,1,KC,LAC,p_344,00-0039835,J.Eboigbe,DL,2
2025_01_KC_LAC,1,KC,LAC,p_344,00-0039366,T.Still,DB,2
2025_01_KC_LAC,1,KC,LAC,p_245,00-0039835,J.Eboigbe,DL,2
2025_01_KC_LAC,1,KC,LAC,p_245,00-0040144,J.Caldwell,DL,16
2025_01_KC_LAC,1,KC,LAC,p_236,00-0031040,K.Mack,LB,3
2025_01_KC_LAC,1,KC,LAC,p_236,00-0032146,B.Dupree,LB,4
2025_01_KC_LAC,1,KC,LAC,p_236,00-0034790,D.James,DB,8
2025_01_KC_LAC,1,KC,LAC,p_236,00-0034356,D.Jackson,DB,8
2025_01_KC_LAC,1,KC,LAC,p_236,00-0036380,A.Gilman,DB,8
2025_01_KC_LAC,1,KC,LAC,p_236,00-0036992,E.Molden,DB,8
2025_01_KC_LAC,1,KC,LAC,p_236,00-0038553,D.Henley,LB,8
2025_01_KC_LAC,1,KC,LAC,p_236,00-0039835,J.Eboigbe,DL,2
2025_01_KC_LAC,1,KC,LAC,p_236,00-0039366,T.Still,DB,8
2025_01_KC_LAC,1,KC,LAC,p_236,00-0039369,C.Hart,DB,8
2025_01_KC_LAC,1,KC,LAC,p_236,00-0040144,J.Caldwell,DL,6
2025_01_KC_LAC,1,KC,LAC,p_155,00-0031040,K.Mack,LB,1
2025_01_KC_LAC,1,KC,LAC,p_155,00-0032146,B.Dupree,LB,1
2025_01_KC_LAC,1,KC,LAC,p_155,00-0034790,D.James,DB,1
2025_01_KC_LAC,1,KC,LAC,p_155,00-0034356,D.Jackson,DB,1
2025_01_KC_LAC,1,KC,LAC,p_155,00-0034371,D.Hand,DL,1
2025_01_KC_LAC,1,KC,LAC,p_155,00-0036338,T.Dye,LB,1
2025_01_KC_LAC,1,KC,LAC,p_155,00-0036380,A.Gilman,DB,1
2025_01_KC_LAC,1,KC,LAC,p_155,00-0039111,T.Tuipulotu,LB,1
2025_01_KC_LAC,1,KC,LAC,p_155,00-0038553,D.Henley,LB,1
2025_01_KC_LAC,1,KC,LAC,p_155,00-0039366,T.Still,DB,1
2025_01_KC_LAC,1,KC,LAC,p_155,00-0039369,C.Hart,DB,1
2025_01_KC_LAC,1,LAC,KC,p_425,00-0032762,C.Jones,DL,14
2025_01_KC_LAC,1,LAC,KC,p_425,00-0034818,D.Nnadi,DL,6
2025_01_KC_LAC,1,LAC,KC,p_425,00-0035262,D.Tranquill,LB,14
2025_01_KC_LAC,1,LAC,KC,p_425,00-0036621,N.Bolton,LB,15
2025_01_KC_LAC,1,LAC,KC,p_425,00-0037191,T.McDuffie,DB,15
2025_01_KC_LAC,1,LAC,KC,p_425,00-0037192,G.Karlaftis,DL,15
2025_01_KC_LAC,1,LAC,KC,p_425,00-0037193,B.Cook,DB,15
2025_01_KC_LAC,1,LAC,KC,p_425,00-0037195,J.Watson,DB,15
2025_01_KC_LAC,1,LAC,KC,p_425,00-0038982,C.Conner,DB,15
2025_01_KC_LAC,1,LAC,KC,p_425,00-0039825,J.Hicks,DB,10
2025_01_KC_LAC,1,LAC,KC,p_425,00-0040640,A.Gillotte,DL,7
2025_01_KC_LAC,1,LAC,KC,p_425,00-0035279,C.Omenihu,DL,10
2025_01_KC_LAC,1,KC,LAC,p_335,00-0032146,B.Dupree,LB,1
2025_01_KC_LAC,1,KC,LAC,p_335,00-0032103,D.Perryman,LB,1
2025_01_KC_LAC,1,KC,LAC,p_335,00-0034790,D.James,DB,1
2025_01_KC_LAC,1,KC,LAC,p_335,00-0034356,D.Jackson,DB,1
2025_01_KC_LAC,1,KC,LAC,p_335,00-0034371,D.Hand,DL,1
2025_01_KC_LAC,1,KC,LAC,p_335,00-0036380,A.Gilman,DB,1
2025_01_KC_LAC,1,KC,LAC,p_335,00-0036181,T.Tart,DL,1
2025_01_KC_LAC,1,KC,LAC,p_335,00-0036992,E.Molden,DB,1
2025_01_KC_LAC,1,KC,LAC,p_335,00-0038553,D.Henley,LB,1
2025_01_KC_LAC,1,KC,LAC,p_335,00-0039835,J.Eboigbe,DL,1
2025_01_KC_LAC,1,KC,LAC,p_335,00-0039366,T.Still,DB,1
2025_01_KC_LAC,1,KC,LAC,p_245,00-0038851,C.Murphy,LB,9
2025_01_KC_LAC,1,LAC,KC,p_344,00-0035674,J.Tillery,DL,2
2025_01_KC_LAC,1,LAC,KC,p_344,00-0035279,C.Omenihu,DL,2
2025_01_KC_LAC,1,LAC,KC,p_425,00-0035674,J.Tillery,DL,8
2025_01_KC_LAC,1,LAC,KC,p_434,00-0032762,C.Jones,DL,2
2025_01_KC_LAC,1,LAC,KC,p_434,00-0035674,J.Tillery,DL,4
2025_01_KC_LAC,1,LAC,KC,p_434,00-0035262,D.Tranquill,LB,2
2025_01_KC_LAC,1,LAC,KC,p_434,00-0035279,C.Omenihu,DL,4
2025_01_KC_LAC,1,LAC,KC,p_434,00-0036621,N.Bolton,LB,4
2025_01_KC_LAC,1,LAC,KC,p_434,00-0037191,T.McDuffie,DB,4
2025_01_KC_LAC,1,LAC,KC,p_434,00-0037192,G.Karlaftis,DL,4
2025_01_KC_LAC,1,LAC,KC,p_434,00-0037193,B.Cook,DB,4
2025_01_KC_LAC,1,LAC,KC,p_434,00-0037819,L.Chenal,LB,4
2025_01_KC_LAC,1,LAC,KC,p_434,00-0037195,J.Watson,DB,4
2025_01_KC_LAC,1,LAC,KC,p_434,00-0038982,C.Conner,DB,4
2025_01_KC_LAC,1,LAC,KC,p_335,00-0037819,L.Chenal,LB,2
2025_01_KC_LAC,1,LAC,KC,p_416,00-0032762,C.Jones,DL,1
2025_01_KC_LAC,1,LAC,KC,p_416,00-0035279,C.Omenihu,DL,1
2025_01_KC_LAC,1,LAC,KC,p_416,00-0036416,K.Fulton,DB,1
2025_01_KC_LAC,1,LAC,KC,p_416,00-0036621,N.Bolton,LB,1
2025_01_KC_LAC,1,LAC,KC,p_416,00-0037191,T.McDuffie,DB,1
2025_01_KC_LAC,1,LAC,KC,p_416,00-0037192,G.Karlaftis,DL,1
2025_01_KC_LAC,1,LAC,KC,p_416,00-0037193,B.Cook,DB,1
2025_01_KC_LAC,1,LAC,KC,p_416,00-0037195,J.Watson,DB,1
2025_01_KC_LAC,1,LAC,KC,p_416,00-0038982,C.Conner,DB,1
2025_01_KC_LAC,1,LAC,KC,p_416,00-0039825,J.Hicks,DB,1
2025_01_KC_LAC,1,LAC,KC,p_416,00-0040640,A.Gillotte,DL,1
2025_01_KC_LAC,1,KC,LAC,p_245,00-0036338,T.Dye,LB,27
2025_01_KC_LAC,1,KC,LAC,p_245,00-0039369,C.Hart,DB,13
2025_01_KC_LAC,1,KC,LAC,p_146,00-0036338,T.Dye,LB,4
2025_01_KC_LAC,1,KC,LAC,p_146,00-0040144,J.Caldwell,DL,3
2025_01_KC_LAC,1,KC,LAC,p_434,00-0031040,K.Mack,LB,2
2025_01_KC_LAC,1,KC,LAC,p_434,00-0034790,D.James,DB,2
2025_01_KC_LAC,1,KC,LAC,p_434,00-0034371,D.Hand,DL,2
2025_01_KC_LAC,1,KC,LAC,p_434,00-0036380,A.Gilman,DB,2
2025_01_KC_LAC,1,KC,LAC,p_434,00-0036181,T.Tart,DL,2
